"Time stamp","Estimate rec. thermal power TO HTF | (MWt)","Resource Solar Azimuth | (deg)","Resource Solar Zenith | (deg)","Field optical efficiency before defocus"
"Jan 19, 02:00 pm",0,210.026,63.5746,0.623671
"Jan 19, 03:00 pm",0,223.219,70.6686,0.65321
"Jan 19, 04:00 pm",17.7542,234.453,79.59,0.278117
"Jan 19, 05:00 pm",16.0734,244.167,89.4346,0
"Jan 19, 06:00 pm",0,252.91,100.977,0
"Jan 19, 07:00 pm",0,261.265,112.567,0
"Jan 19, 08:00 pm",0,269.929,124.421,0
"Jan 19, 09:00 pm",0,279.965,136.265,0
"Jan 19, 10:00 pm",0,293.526,147.661,0
"Jan 19, 11:00 pm",0,315.811,157.511,0
"Jan 20, 12:00 am",0,355.283,162.618,0
"Jan 20, 01:00 am",0,37.8259,159.06,0
"Jan 20, 02:00 am",0,62.9221,149.79,0
"Jan 20, 03:00 am",0,77.6436,138.571,0
"Jan 20, 04:00 am",0,88.1461,126.762,0
"Jan 20, 05:00 am",0,96.9714,114.876,0
"Jan 20, 06:00 am",0,105.319,103.2,0
"Jan 20, 07:00 am",0,113.93,91.9874,0
"Jan 20, 08:00 am",0,123.399,81.4305,0
"Jan 20, 09:00 am",0,134.288,72.2007,0
"Jan 20, 10:00 am",0,147.078,64.6539,0.633187
"Jan 20, 11:00 am",0,161.93,59.5115,0.594231
"Jan 20, 12:00 pm",0,178.289,57.4505,0
"Jan 20, 01:00 pm",0,194.812,58.8044,0.586786
