"Time stamp","System power generated | (kW)","Estimated receiver thermal power TO HTF | (MWt)","Resource beam normal irradiance | (W/m2)","Predicted clear-sky beam normal irradiance | (W/m2)"
"Jan 20, 01:00 pm",-607.2,0,0,0
"Jan 20, 02:00 pm",-607.2,0,0,0
"Jan 20, 03:00 pm",-607.2,0,0,0
"Jan 20, 04:00 pm",-607.2,0,0,0
"Jan 20, 05:00 pm",-607.2,0,0,0
"Jan 20, 06:00 pm",-607.2,0,0,0
"Jan 20, 07:00 pm",-607.2,0,0,0
"Jan 20, 08:00 pm",-607.2,0,0,0
"Jan 20, 09:00 pm",-607.2,0,0,0
"Jan 20, 10:00 pm",-607.2,0,0,0
"Jan 20, 11:00 pm",-607.2,0,0,0
"Jan 21, 12:00 am",-607.2,0,0,0
"Jan 21, 01:00 am",-607.2,0,0,0
"Jan 21, 02:00 am",-607.2,0,0,0
"Jan 21, 03:00 am",-607.2,0,0,0
"Jan 21, 04:00 am",-607.2,0,0,0
"Jan 21, 05:00 am",-607.2,0,0,0
"Jan 21, 06:00 am",-607.2,0,0,0
"Jan 21, 07:00 am",-607.2,0,0,0
"Jan 21, 08:00 am",-607.2,0,0,0
"Jan 21, 09:00 am",-607.2,0,97,0
"Jan 21, 10:00 am",-3742.02,0,446,0
"Jan 21, 11:00 am",82973,463.726,749,0
"Jan 21, 12:00 pm",112014,528.35,813,0
"Jan 21, 01:00 pm",111091,578.606,876,0
"Jan 21, 02:00 pm",112122,0,166,0
"Jan 21, 03:00 pm",112225,0,13,0
"Jan 21, 04:00 pm",30358.6,0,0,0
"Jan 21, 05:00 pm",-607.2,0,0,0
"Jan 21, 06:00 pm",-607.2,0,0,0
"Jan 21, 07:00 pm",-607.2,0,0,0
"Jan 21, 08:00 pm",-607.2,0,0,0
"Jan 21, 09:00 pm",-607.2,0,0,0
"Jan 21, 10:00 pm",-607.2,0,0,0
"Jan 21, 11:00 pm",-607.2,0,0,0
"Jan 22, 12:00 am",-607.2,0,0,0
"Jan 22, 01:00 am",-607.2,0,0,0
"Jan 22, 02:00 am",-607.2,0,0,0
"Jan 22, 03:00 am",-607.2,0,0,0
"Jan 22, 04:00 am",-607.2,0,0,0
"Jan 22, 05:00 am",-607.2,0,0,0
"Jan 22, 06:00 am",-607.2,0,0,0
"Jan 22, 07:00 am",-607.2,0,0,0
"Jan 22, 08:00 am",-607.2,0,0,0
"Jan 22, 09:00 am",-2968.45,0,434,0
"Jan 22, 10:00 am",46737.1,0,765,0
"Jan 22, 11:00 am",111882,540.9,865,0
"Jan 22, 12:00 pm",110766,594.902,910,0
"Jan 22, 01:00 pm",110329,612.392,925,0
"Jan 22, 02:00 pm",110550,599.434,914,0
"Jan 22, 03:00 pm",111344,557.596,882,0
"Jan 22, 04:00 pm",112934,453.966,795,0
"Jan 22, 05:00 pm",115254,253.594,615,0
"Jan 22, 06:00 pm",116660,0,131,0
"Jan 22, 07:00 pm",116837,0,0,0
"Jan 22, 08:00 pm",116789,0,0,0
"Jan 22, 09:00 pm",116726,0,0,0
"Jan 22, 10:00 pm",116633,0,0,0
"Jan 22, 11:00 pm",78051.9,0,0,0
"Jan 23, 12:00 am",-607.2,0,0,0
"Jan 23, 01:00 am",-607.2,0,0,0
"Jan 23, 02:00 am",-607.2,0,0,0
"Jan 23, 03:00 am",-607.2,0,0,0
"Jan 23, 04:00 am",-607.2,0,0,0
"Jan 23, 05:00 am",-607.2,0,0,0
"Jan 23, 06:00 am",-607.2,0,0,0
"Jan 23, 07:00 am",-607.2,0,0,0
